"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0007154","cell communication",0.714285714285714,0.0553191489361702,0.384615384615385,12.9120879120879,7.72631844727024,4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,"evm.utg268.25.1.5c22edff",5,"evm.utg268.25.1.5c22edff/evm.utg268.25/evm.utg268.25.2.5c22edff/evm.utg268.25.3.5c22edff/evm.utg268.25.3.5c22edff.1.5c2792b6","exp2__exon__evm.utg268.25.1.5c22edff__19471","exon","CHH",-1.730103806,0.068157668,5,5,"Biological Processes","exon","Primed Experiment","5/7","13/235"
"GO:0007154","cell communication",0.714285714285714,0.0553191489361702,0.384615384615385,12.9120879120879,7.72631844727024,4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,"evm.utg268.25",5,"evm.utg268.25.1.5c22edff/evm.utg268.25/evm.utg268.25.2.5c22edff/evm.utg268.25.3.5c22edff/evm.utg268.25.3.5c22edff.1.5c2792b6","exp2__exon__evm.utg268.25__19472","exon","CHH",-1.730103806,0.068157668,5,5,"Biological Processes","exon","Primed Experiment","5/7","13/235"
"GO:0007154","cell communication",0.714285714285714,0.0553191489361702,0.384615384615385,12.9120879120879,7.72631844727024,4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,"evm.utg268.25.2.5c22edff",5,"evm.utg268.25.1.5c22edff/evm.utg268.25/evm.utg268.25.2.5c22edff/evm.utg268.25.3.5c22edff/evm.utg268.25.3.5c22edff.1.5c2792b6","exp2__exon__evm.utg268.25.2.5c22edff__19473","exon","CHH",-1.730103806,0.068157668,5,5,"Biological Processes","exon","Primed Experiment","5/7","13/235"
"GO:0007154","cell communication",0.714285714285714,0.0553191489361702,0.384615384615385,12.9120879120879,7.72631844727024,4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,"evm.utg268.25.3.5c22edff",5,"evm.utg268.25.1.5c22edff/evm.utg268.25/evm.utg268.25.2.5c22edff/evm.utg268.25.3.5c22edff/evm.utg268.25.3.5c22edff.1.5c2792b6","exp2__exon__evm.utg268.25.3.5c22edff__19474","exon","CHH",-1.730103806,0.068157668,5,5,"Biological Processes","exon","Primed Experiment","5/7","13/235"
"GO:0007154","cell communication",0.714285714285714,0.0553191489361702,0.384615384615385,12.9120879120879,7.72631844727024,4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,"evm.utg268.25.3.5c22edff.1.5c2792b6",5,"evm.utg268.25.1.5c22edff/evm.utg268.25/evm.utg268.25.2.5c22edff/evm.utg268.25.3.5c22edff/evm.utg268.25.3.5c22edff.1.5c2792b6","exp2__exon__evm.utg268.25.3.5c22edff.1.5c2792b6__19475","exon","CHH",-1.730103806,0.068157668,5,5,"Biological Processes","exon","Primed Experiment","5/7","13/235"
"GO:0007411","axon guidance",0.142857142857143,0.0127659574468085,0.333333333333333,11.1904761904762,3.10599418806482,0.0870867664585134,0.174173532917027,0.15278380080441,"utg4321.evm.utg13237.7.mrna4",1,"utg4321.evm.utg13237.7.mrna4","exp2__exon__utg4321.evm.utg13237.7.mrna4__19684","exon","CHH",-0.307692308,0.068157668,1,1,"Biological Processes","exon","Primed Experiment","1/7","3/235"
"GO:0070593","dendrite self-avoidance",0.142857142857143,0.0127659574468085,0.333333333333333,11.1904761904762,3.10599418806482,0.0870867664585134,0.174173532917027,0.15278380080441,"utg4321.evm.utg13237.7.mrna4",1,"utg4321.evm.utg13237.7.mrna4","exp2__exon__utg4321.evm.utg13237.7.mrna4__19684","exon","CHH",-0.307692308,0.068157668,1,1,"Biological Processes","exon","Primed Experiment","1/7","3/235"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.142857142857143,0.0340425531914894,0.125,4.19642857142857,1.60837233397765,0.217810430887429,0.326715646331144,0.286592672220302,"utg4321.evm.utg13237.7.mrna4",1,"utg4321.evm.utg13237.7.mrna4","exp2__exon__utg4321.evm.utg13237.7.mrna4__19684","exon","CHH",-0.307692308,0.068157668,1,1,"Biological Processes","exon","Primed Experiment","1/7","8/235"
"GO:0006310","DNA recombination",0.142857142857143,0.0723404255319149,0.0588235294117647,1.97478991596639,0.729620061780364,0.413004526359738,0.495605431631685,0.434741606694461,"evm.utg4977.3",1,"evm.utg4977.3","exp2__exon__evm.utg4977.3__19775","exon","CHH",-0.436893204,0.068157668,1,1,"Biological Processes","exon","Primed Experiment","1/7","17/235"
"GO:0015074","DNA integration",0.142857142857143,0.0936170212765957,0.0454545454545455,1.52597402597403,0.453080490442224,0.502154876953836,0.502154876953836,0.440486734170032,"evm.utg4977.3",1,"evm.utg4977.3","exp2__exon__evm.utg4977.3__19775","exon","CHH",-0.436893204,0.068157668,1,1,"Biological Processes","exon","Primed Experiment","1/7","22/235"
