"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GO"
"GO:0030414","peptidase inhibitor activity",0.00798446266724212,0.00319378776967154,0.362745098039216,2.49999788435011,6.25102729548762,4.01350068897208e-08,3.82486615659039e-05,3.66284747088294e-05,"evm.utg8.10/evm.utg52.99/evm.utg104.63/evm.utg104.64/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/utg544.equina_smart_1559235utrorf.mrna1/evm.utg544.14/evm.utg580.6/evm.utg580.26/evm.utg616.126/evm.utg616.127/evm.utg912.49/evm.utg1290.2/evm.utg1609.5/evm.utg2100.31/evm.utg2417.38/evm.utg2858.29/evm.utg4049.2/evm.utg4207.23/evm.utg5073.2/evm.utg5689.7/evm.utg5689.8/evm.utg8615.4/evm.utg9740.7/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg24357.20/evm.utg32458.10/evm.utg37512.1",37,"molecular_functions"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",0.0142425550280535,0.00845414409618937,0.244444444444444,1.6846832590035,4.65458772881141,1.03028478880892e-05,0.0049093070186745,0.0047013521678807,"evm.utg86.58/evm.utg92.154.157/evm.utg109.23/evm.utg109.42/evm.utg116.210/evm.utg194.31/evm.utg194.35/evm.utg207.9/evm.utg207.61/evm.utg207.64/evm.utg207.80/evm.utg209.58/evm.utg214.63/evm.utg219.26/evm.utg219.28/evm.utg356.131/evm.utg377.28/evm.utg377.30/evm.utg401.67/evm.utg411.41/evm.utg464.224/evm.utg470.38/evm.utg470.49/evm.utg479.64/evm.utg505.42/evm.utg522.9/evm.utg526.19/evm.utg564.44/evm.utg564.47/evm.utg798.18/evm.utg801.23/evm.utg857.16/evm.utg857.24/evm.utg989.15/evm.utg1051.49/evm.utg1056.123/evm.utg1056.142/evm.utg1396.19/evm.utg1565.65/evm.utg1571.10/evm.utg1623.8/evm.utg2129.25/evm.utg2129.44/evm.utg2216.22/evm.utg2216.29/evm.utg2801.42/evm.utg2929.4/evm.utg3092.47/evm.utg3260.1/evm.utg3283.23/evm.utg3283.25/evm.utg3839.101/evm.utg3839.103/evm.utg4082.36/evm.utg4082.37/evm.utg5059.29/evm.utg7066.7/evm.utg7289.31/evm.utg7595.8/evm.utg8494.50/evm.utg11096.5/evm.utg15210.4/evm.utg15506.3/evm.utg25862.7/evm.utg26037.2/evm.utg44416.1",66,"molecular_functions"
